Pair,PSNR,SSIM,LPIPS
captured.obj vs captured_ref.png,33.757958867752016,0.7199523809820747,0.5186550617218018
chair.obj vs chair_ref.png,33.370480177363305,0.6290383404624172,0.5831281542778015
hamburger.obj vs hamburger_ref.png,32.97516074550216,0.5858931503107222,0.5761373043060303
hat.obj vs hat_ref.png,32.4956519621447,0.6970152506859997,0.5564362406730652
horse.obj vs horse_ref.png,32.149741721021776,0.5211759851680315,0.7321367859840393
marble.obj vs marble_ref.png,31.868910510926764,0.6027705594387182,0.5980330109596252
police_woman.obj vs police_woman_ref.png,31.584610891129596,0.5292595788712553,0.6332336664199829
robot.obj vs robot_ref.png,31.467351849397115,0.5336065416111996,0.6503190398216248
stripes.obj vs stripes_ref.png,32.47803430001339,0.5945120257588185,0.5932060480117798
teapot.obj vs teapot_ref.png,33.73092556277386,0.679858732550316,0.5726073384284973

Média,32.58788265880247,0.6093082545839552,0.6013892650604248
